caseid,education,race,votereg,birthyear,gender,vote,party
1983126005,6,1,1,1992,1,5,NA
1983126559,3,1,1,1957,1,5,2
1983126197,5,1,1,1978,2,5,NA
1979974411,6,1,1,1991,3,5,1
1983130427,6,1,1,1991,1,1,3
1981687607,5,7,1,1955,1,5,3
1983125989,2,2,1,1968,2,5,NA
1983125855,6,1,1,1947,1,5,NA
1981900613,5,1,1,1947,2,5,NA
1983055465,6,1,1,1950,1,5,NA
1983126153,5,2,1,1949,2,5,NA
1983126535,6,1,1,1969,2,5,NA
1982425223,5,2,1,1961,2,5,3
1979259565,4,6,1,1965,2,5,2
1983127719,6,1,1,1974,1,5,NA
1983126249,6,3,1,1988,2,5,NA
1983126173,4,1,1,1978,2,5,NA
1983191583,3,1,2,1998,1,NA,NA
1983190653,3,2,1,1981,2,5,NA
1983191535,3,3,1,1961,2,2,1
1983126033,6,1,1,1985,1,5,3
1983172347,2,1,1,1957,1,1,3
1983191517,5,1,1,1968,1,5,2
1983125763,6,1,1,1986,2,5,NA
1983125963,5,1,1,1948,1,5,NA
1983127275,5,1,1,1977,1,5,NA
1983126053,6,2,1,1981,2,5,NA
1982905083,3,2,2,1964,2,NA,3
1983144143,6,1,1,1973,1,5,1
1983191601,5,1,1,1968,1,5,1
1977592677,3,1,1,1957,1,5,NA
1983202355,5,1,1,1985,1,5,NA
1983202389,5,1,1,1988,2,5,NA
1982013403,4,1,2,1939,1,1,NA
1982290075,1,1,1,1957,1,5,NA
1983202213,2,1,1,1989,2,5,NA
1983191577,1,1,2,1982,2,NA,NA
1983191299,3,1,1,1983,2,1,3
1983202573,2,1,1,1990,2,5,NA
1982625101,4,1,1,1970,2,5,NA
1983201145,5,1,1,1959,2,5,NA
1983202143,2,1,1,1972,2,5,3
1983202485,2,1,1,1978,2,2,NA
1983207589,5,1,1,1969,1,5,NA
1983191425,5,5,1,1967,1,5,NA
1982537071,2,1,1,1959,2,5,NA
1983202373,4,3,1,1989,2,5,1
1983203861,4,1,1,1968,2,5,NA
1982041143,5,3,1,1972,2,5,3
1975135443,3,6,1,1943,1,5,NA
1981978265,3,1,1,1953,1,5,2
1982054215,3,1,1,1961,1,5,NA
1983202181,4,1,1,1950,1,5,NA
1983175125,5,1,1,1978,2,5,3
1982419141,3,1,1,1943,1,5,2
1982743889,2,1,1,1986,2,5,NA
1983172175,4,1,1,1989,2,1,1
1981891923,5,1,1,1998,2,5,NA
1981559915,6,1,1,1970,2,5,1
1983191785,5,2,1,1990,2,5,NA
1983191637,3,1,1,1968,2,3,NA
1982186237,2,2,1,1957,2,1,NA
1983191731,4,1,1,1998,2,5,2
1983202705,4,3,2,1989,2,1,8
1983126217,5,1,1,1949,1,5,NA
1983125827,3,1,1,1987,2,5,NA
1983055489,3,5,2,1997,2,NA,3
1983202845,2,2,1,NA,NA,NA,NA
1983202597,5,1,1,1968,2,5,NA
1982571499,2,1,1,1933,2,5,2
1983207399,2,1,1,1964,2,5,NA
1983209221,2,6,1,1988,3,5,NA
1982700085,6,1,1,1963,2,5,NA
1983242877,6,4,1,1982,2,5,NA
1983209009,3,1,1,1952,2,5,NA
1982535395,3,2,1,1947,2,5,NA
