id,income,education,gender,age,union,height,weight,surveydate
1,30000,6,male,59,used to be,170,160,10/4/15
2,48000,12,male,32,yes,176,110,10/2/15
3,23000,3,female,67,used to be,156,129,10/17/15
4,50000,12,female,61,used to be,170,146,10/6/15
5,22000,4,male,42,no,176,171,9/7/15
6,48000,3,male,86,used to be,164,124,9/14/15
7,40000,4,female,52,yes,158,150,10/17/15
8,0,3,female,81,no,150,80,9/30/15
9,10000,3,female,38,no,160,110,9/14/15
10,60000,6,male,49,yes,170,140,10/2/15
11,36000,4,female,53,no,160,92,10/1/15
12,20000,4,male,65,used to be,165,120,10/1/15
13,50000,7,male,61,yes,169,130,9/18/15
14,40000,7,male,66,no,176,170,10/3/15
15,1.00E+05,7,female,62,used to be,167,140,9/23/15
16,1.00E+05,12,male,31,no,176,170,10/3/15
17,24000,7,female,37,no,157,148,9/13/15
18,3.00E+05,4,male,64,used to be,175,170,9/12/15
19,3.00E+05,10,female,33,no,163,114,10/1/15
20,35000,6,female,57,no,154,110,10/4/15
21,22000,6,male,55,yes,169,140,9/14/15
22,20000,6,female,56,no,159,104,10/3/15
23,30000,1,female,53,no,166,100,8/29/15
24,2.00E+05,12,male,29,no,170,126,10/7/15
25,0,6,female,36,no,160,130,9/26/15
26,0,4,male,58,yes,165,130,10/18/15
27,36000,9,female,56,yes,160,140,10/1/15
28,20000,4,female,42,no,155,120,10/4/15
29,40000,7,female,41,no,155,130,10/3/15
30,50000,9,female,51,used to be,171,150,9/28/15
31,50000,9,female,45,yes,160,110,10/4/15
32,50000,4,female,73,used to be,155,140,10/4/15
33,60000,6,male,25,no,178,146,10/7/15
34,0,3,male,53,no,170,140,10/3/15
35,40000,13,female,30,yes,158,88,9/18/15
36,32000,10,male,77,used to be,170,145,10/7/15
37,50000,6,female,49,used to be,159,120,10/2/15
38,60000,4,female,38,no,160,120,10/1/15
39,45000,4,male,63,used to be,174,140,10/3/15
40,28000,7,male,72,used to be,176,150,9/27/15
41,16800,3,female,59,no,170,150,10/1/15
42,20000,4,male,47,no,160,120,10/3/15
43,30000,4,male,45,no,168,110,10/6/15
44,50000,3,male,22,no,178,176,8/29/15
45,1.00E+05,12,female,46,yes,158,118,10/2/15
46,0,1,female,90,no,152,135,8/30/15
47,60000,13,male,65,used to be,178,140,9/23/15
48,0,9,female,37,no,165,114,9/26/15
49,36000,3,female,42,no,160,105,10/5/15
50,48000,12,female,81,used to be,165,118,9/25/15
51,60000,6,male,72,yes,162,138,10/17/15
52,30000,6,male,57,used to be,172,130,10/1/15
53,30000,12,male,28,no,188,200,8/31/15
54,70000,6,female,61,used to be,150,100,9/28/15
55,60000,13,female,33,yes,162,104,10/17/15
56,60000,6,male,34,yes,170,150,10/5/15
57,0,13,female,40,no,160,160,8/31/15
58,24000,4,male,58,used to be,173,160,10/2/15
59,25000,4,female,63,used to be,158,170,10/3/15
60,30000,5,male,21,no,172,110,10/1/15
61,70000,9,female,33,no,165,138,9/23/15
62,40000,7,male,74,used to be,172,140,10/2/15
63,150000,13,male,42,no,170,140,10/17/15
64,1.00E+05,10,female,38,no,160,135,10/17/15
65,110000,4,male,47,no,163,130,9/24/15
66,24000,3,male,62,no,175,140,10/17/15
67,80000,10,male,25,no,175,170,10/1/15
68,50000,4,female,28,no,161,110,10/24/15
69,30000,7,female,53,no,156,100,10/1/15
70,0,9,female,19,no,160,112,9/27/15
71,180000,12,male,43,yes,165,130,10/17/15
72,24000,4,male,61,yes,170,156,10/2/15
73,50000,10,male,53,no,170,138,10/17/15
74,1.00E+05,6,male,30,no,178,140,9/28/15
75,36000,4,male,30,no,175,150,10/6/15
76,80000,12,male,72,no,180,140,10/4/15
77,20000,4,female,52,no,165,126,10/6/15
78,48000,11,male,55,used to be,175,150,10/3/15
79,40000,10,female,38,no,163,114,10/1/15
80,50000,12,male,67,used to be,168,150,10/5/15
81,0,10,female,19,no,166,108,10/6/15
82,50000,4,female,51,no,165,120,10/4/15
83,13000,2,female,82,no,160,122,10/4/15
84,80000,12,female,38,no,165,110,9/23/15
85,30000,10,female,22,yes,163,94,10/3/15
86,20000,4,female,57,used to be,163,136,10/4/15
87,35000,6,male,25,no,175,130,9/19/15
88,32000,9,male,64,yes,168,112,10/3/15
89,80000,7,male,27,no,172,120,8/29/15
90,50000,6,female,34,no,158,96,10/3/15
91,20000,7,female,56,used to be,158,120,10/3/15
92,50000,10,male,61,yes,166,120,9/26/15
93,20000,6,male,51,yes,172,130,10/5/15
94,50000,4,male,57,used to be,175,150,10/4/15
95,54000,11,female,25,no,165,105,10/3/15
96,15000,4,male,60,no,160,110,10/5/15
97,15000,12,male,24,no,170,100,10/17/15
98,42000,12,female,29,no,160,98,10/3/15
99,70000,12,female,61,yes,162,108,10/2/15
100,0,3,female,68,no,160,130,8/30/15
101,2.00E+05,12,female,30,no,165,108,10/3/15
102,42000,4,male,76,used to be,164,114,10/4/15
103,30000,6,male,62,no,176,148,10/4/15
104,1.00E+05,12,male,69,used to be,168,150,9/28/15
105,40000,11,male,35,no,170,140,10/3/15
106,60000,7,female,78,used to be,149,96,10/4/15
107,20000,4,female,49,used to be,158,170,10/1/15
108,45000,7,male,70,used to be,169,135,10/3/15
109,0,6,male,52,no,168,156,10/4/15
110,3000,3,male,39,no,170,175,10/1/15
111,5000,4,male,28,used to be,175,128,10/2/15
112,0,4,female,48,no,162,160,8/29/15
113,30000,4,female,46,no,158,109,10/2/15
114,80000,10,male,40,used to be,171,134,10/17/15
115,84000,10,male,34,yes,180,166,10/18/15
116,1.00E+05,12,male,35,no,174,147,10/2/15
117,36000,4,female,72,no,155,100,10/3/15
118,20000,4,female,49,no,155,110,8/30/15
119,36000,4,male,60,yes,172,120,10/4/15
120,120000,12,male,26,no,178,180,10/3/15
121,42000,4,male,61,used to be,176,140,10/4/15
122,30000,6,male,36,no,170,130,10/1/15
123,0,7,male,18,no,176,114,10/17/15
124,25000,4,female,56,no,163,104,10/3/15
125,2.00E+05,13,female,29,yes,165,129,10/12/15
126,33600,6,male,67,used to be,173,160,10/2/15
127,30000,3,female,64,used to be,151,140,10/5/15
128,1.00E+05,7,female,36,yes,160,112,9/24/15
129,50000,4,male,40,no,170,140,10/6/15
130,60000,11,female,35,yes,158,100,10/1/15
131,24000,6,female,47,yes,156,118,10/3/15
132,36000,6,female,52,used to be,160,115,10/2/15
133,7560,6,female,60,no,154,130,10/3/15
134,80000,10,female,47,yes,160,125,9/18/15
135,150000,6,male,54,no,177,140,10/7/15
136,5000,4,female,49,no,155,130,10/17/15
137,36000,3,female,82,used to be,155,130,9/8/15
138,30000,9,female,47,yes,168,154,10/5/15
139,30000,7,female,23,no,160,115,10/5/15
140,120000,6,male,21,no,169,120,10/7/15
141,0,13,female,24,no,172,120,9/29/15
142,0,12,female,33,no,160,120,10/17/15
143,4.00E+05,13,female,45,no,170,140,10/1/15
144,30000,4,female,65,no,164,130,10/1/15
145,74400,4,male,65,used to be,170,170,10/6/15
146,30000,9,female,56,used to be,160,120,10/4/15
147,66000,10,female,68,used to be,162,95,9/30/15
148,50000,13,female,27,no,170,110,9/19/15
149,50000,12,female,75,no,162,95,9/29/15
150,80000,12,female,42,yes,160,130,10/4/15
151,75000,4,male,62,used to be,172,140,9/24/15
152,36000,6,female,56,used to be,168,125,9/13/15
153,32000,10,female,66,used to be,165,100,10/2/15
154,50000,4,male,48,yes,174,138,10/10/15
