"","id","income","education","gender","age","union","height","weight","surveydate","female"
"1",1,30000,6,"male",59,"used to be",170,160,2015-10-04,FALSE
"2",2,48000,12,"male",32,"yes",176,110,2015-10-02,FALSE
"3",3,23000,3,"female",67,"used to be",156,129,2015-10-17,TRUE
"4",4,50000,12,"female",61,"used to be",170,146,2015-10-06,TRUE
"5",5,22000,4,"male",42,"no",176,171,2015-09-07,FALSE
"6",6,48000,3,"male",86,"used to be",164,124,2015-09-14,FALSE
"7",7,40000,4,"female",52,"yes",158,150,2015-10-17,TRUE
"8",8,0,3,"female",81,"no",150,80,2015-09-30,TRUE
"9",9,10000,3,"female",38,"no",160,110,2015-09-14,TRUE
"10",10,60000,6,"male",49,"yes",170,140,2015-10-02,FALSE
"11",11,36000,4,"female",53,"no",160,92,2015-10-01,TRUE
"12",12,20000,4,"male",65,"used to be",165,120,2015-10-01,FALSE
"13",13,50000,7,"male",61,"yes",169,130,2015-09-18,FALSE
"14",14,40000,7,"male",66,"no",176,170,2015-10-03,FALSE
"15",15,1e+05,7,"female",62,"used to be",167,140,2015-09-23,TRUE
"16",16,1e+05,12,"male",31,"no",176,170,2015-10-03,FALSE
"17",17,24000,7,"female",37,"no",157,148,2015-09-13,TRUE
"18",18,3e+05,4,"male",64,"used to be",175,170,2015-09-12,FALSE
"19",19,3e+05,10,"female",33,"no",163,114,2015-10-01,TRUE
"20",20,35000,6,"female",57,"no",154,110,2015-10-04,TRUE
"21",21,22000,6,"male",55,"yes",169,140,2015-09-14,FALSE
"22",22,20000,6,"female",56,"no",159,104,2015-10-03,TRUE
"23",23,30000,1,"female",53,"no",166,100,2015-08-29,TRUE
"24",24,2e+05,12,"male",29,"no",170,126,2015-10-07,FALSE
"25",25,0,6,"female",36,"no",160,130,2015-09-26,TRUE
"26",26,0,4,"male",58,"yes",165,130,2015-10-18,FALSE
"27",27,36000,9,"female",56,"yes",160,140,2015-10-01,TRUE
"28",28,20000,4,"female",42,"no",155,120,2015-10-04,TRUE
"29",29,40000,7,"female",41,"no",155,130,2015-10-03,TRUE
"30",30,50000,9,"female",51,"used to be",171,150,2015-09-28,TRUE
