republican	totcont	select	senior	vote90	freshman	give	distance
1	0	0	16	57	0	0	4.231249
1	0	0	8	70	0	0	4.231249
1	0	0	4	52	0	0	4.206601
1	0	0	23	82	0	0	4.182025
1	0	0	10	63	0	0	3.721041
1	0	0	16	66	0	0	3.5344
1	0	0	8	71	0	0	3.352561
1	0	0	14	99	0	0	3.345241
1	0	0	4	59	0	0	3.196944
1	0	0	2	54	1	0	3.193369
1	0	0	2	51	1	0	3.182656
1	0	0	12	99	0	0	3.045025
1	0	0	8	58	0	0	3.020644
1	0	0	6	62	0	0	2.951524
1	0	0	6	66	0	0	2.944656
1	0	0	6	61	0	0	2.937796
1	0	0	6	69	0	0	2.937796
1	0	0	6	56	0	0	2.934369
1	0	0	6	56	0	0	2.934369
1	0	0	8	67	0	0	2.927521
1	0	0	20	60	0	0	2.9241
1	0	0	12	73	0	0	2.913849
1	0	0	6	64	0	0	2.900209
1	0	0	2	61	1	0	2.886601
1	0	0	4	81	0	0	2.829124
1	0	0	4	59	0	0	2.825761
1	0	0	12	63	0	0	2.815684
1	0	0	6	56	0	0	2.812329
1	0	0	4	68	0	0	2.768896
1	0	0	2	51	1	0	2.762244
1	0	0	14	68	0	0	2.729104
1	0	0	2	55	1	0	2.709316
1	0	0	9	65	0	0	2.686321
1	0	0	8	67	0	0	2.683044
1	0	0	12	64	0	0	2.653641
1	0	0	22	99	0	0	2.647129
1	0	0	6	99	0	0	2.576025
1	0	0	1	53	1	0	2.576025
1	0	0	4	71	0	0	2.572816
1	0	0	12	52	0	0	2.563201
1	0	0	12	71	0	0	2.556801
1	0	0	10	68	0	0	2.550409
1	0	0	10	99	0	0	2.540836
1	0	0	6	58	0	0	2.518569
1	0	0	16	63	0	0	2.499561
1	0	0	16	63	0	0	2.499561
1	0	0	8	66	0	0	2.499561
1	2500	1	10	75	0	1	2.4964
1	0	0	10	50	0	0	2.493241
1	0	0	3	55	0	0	2.493241
1	0	0	2	46	1	0	2.483776
1	0	0	2	51	1	0	2.458624
1	0	0	10	59	0	0	2.439844
1	0	0	14	50	0	0	2.4336
1	0	0	10	68	0	0	2.4336
1	0	0	6	67	0	0	2.424249
1	0	0	6	75	0	0	2.408704
1	0	0	4	57	0	0	2.3716
1	0	0	2	64	1	0	2.368521
1	0	0	12	65	0	0	2.331729
1	0	0	10	62	0	0	2.304324
1	0	0	14	54	0	0	2.295225
1	0	0	14	60	0	0	2.283121
1	0	0	12	60	0	0	2.268036
1	0	0	2	52	1	0	2.253001
1	0	0	8	68	0	0	2.247001
1	0	0	8	65	0	0	2.229049
1	0	0	11	62	0	0	2.226064
1	0	0	20	99	0	0	2.2201
1	0	0	2	51	1	0	2.181529
1	0	0	10	58	0	0	2.181529
1	0	0	8	99	0	0	2.172676
1	0	0	36	98	0	0	2.166784
1	0	0	2	65	1	0	2.166784
1	0	0	8	99	0	0	2.134521
1	0	0	1	66	1	0	2.119936
1	0	0	6	72	0	0	2.117025
1	0	0	2	43	1	0	2.111209
1	0	0	8	62	0	0	2.105401
1	0	0	18	67	0	0	2.0736
1	0	0	18	88	0	0	2.064969
1	0	0	2	67	1	0	2.059225
1	0	0	12	62	0	0	2.053489
1	0	0	14	61	0	0	2.047761
1	0	0	2	62	1	0	2.0449
1	0	0	8	75	0	0	2.019241
1	0	0	6	58	0	0	2.0164
1	0	0	15	84	0	0	1.962801
1	0	0	18	64	0	0	1.96
1	0	0	6	65	0	0	1.951609
1	0	0	22	99	0	0	1.9321
1	0	0	13	99	0	0	1.929321
1	0	0	12	99	0	0	1.929321
1	0	0	22	89	0	0	1.926544
1	0	0	16	52	0	0	1.926544
1	0	0	14	65	0	0	1.920996
1	0	0	8	58	0	0	1.9044
1	0	0	10	72	0	0	1.898884
1	0	0	12	57	0	0	1.896129
1	0	0	12	68	0	0	1.879641
1	0	0	8	60	0	0	1.879641
1	0	0	8	74	0	0	1.871424
1	0	0	3	60	0	0	1.871424
1	0	0	12	98	0	0	1.860496
1	0	0	2	60	1	0	1.841449
1	0	0	30	99	0	0	1.803649
1	0	0	14	61	0	0	1.7689
1	0	0	2	53	1	0	1.766241
1	0	0	10	99	0	0	1.766241
1	0	0	8	65	0	0	1.729225
1	0	0	10	90	0	0	1.708249
