NOLA,year,run,win,M_raw,M,C,incumb_ran,unopposed,city_type,city_council
0,1990,0,0,-26.37599754333496,23.62400245666504,37.060874938964844,1,1,Rural,Mixed
0,1994,0,0,-50,0,37.661781311035156,1,1,Rural,Mixed
0,1998,0,0,-50,0,38.2626838684082,1,1,Rural,Mixed
0,2002,0,0,-50,0,39.056434631347656,0,0,Rural,Mixed
0,2006,0,0,-25.655757904052734,24.344242095947266,40.043025970458984,1,0,Rural,Mixed
0,2010,0,0,-29.431859970092773,20.568140029907227,41.02961730957031,1,1,Rural,Mixed
0,2014,0,0,-50,0,41.02961730957031,1,1,Rural,Mixed
0,1994,0,0,-27.715354919433594,22.284645080566406,4.585556983947754,1,0,Suburban,AtLarge
0,1998,0,0,-35.524566650390625,14.475433349609375,3.538398265838623,1,0,Suburban,AtLarge
0,2002,0,0,-30.166271209716797,19.833728790283203,3.308260917663574,0,0,Suburban,AtLarge
0,2006,0,0,-27.658227920532227,22.341772079467773,3.8951451778411865,1,1,Suburban,AtLarge
0,2010,1,0,-50,0,4.482029438018799,1,0,Suburban,AtLarge
0,2012,0,0,-35.2100830078125,14.7899169921875,4.482029438018799,0,1,Suburban,AtLarge
0,2014,0,0,-50,0,4.482029438018799,1,1,Suburban,AtLarge
0,1992,0,0,-29.225351333618164,20.774648666381836,13.95508861541748,1,1,Suburban,Mixed
0,1996,0,0,-50,0,18.46101188659668,1,1,Suburban,Mixed
0,2000,0,0,-50,0,22.966934204101562,1,1,Suburban,Mixed
0,2004,0,0,-50,0,25.157838821411133,1,0,Suburban,Mixed
0,2008,0,0,-35.02906799316406,14.970932006835938,27.348743438720703,1,0,Suburban,Mixed
0,2012,0,0,-27.11111068725586,22.88888931274414,27.348743438720703,0,1,Suburban,Mixed
0,1994,0,0,-30.794702529907227,19.205297470092773,0.5113590359687805,1,0,Suburban,AtLarge
0,1998,0,0,-33.33333206176758,16.666667938232422,0.24752430617809296,1,0,Suburban,AtLarge
0,2002,0,0,-35.50531768798828,14.494682312011719,0.8645443916320801,1,1,Suburban,AtLarge
0,2006,0,0,-50,0,2.3624191284179687,1,1,Suburban,AtLarge
0,2010,0,0,-50,0,3.8602941036224365,1,0,Suburban,AtLarge
0,2014,0,0,-36.59574508666992,13.404254913330078,3.8602941036224365,1,0,Suburban,AtLarge
0,1994,1,0,-33.20159149169922,16.79840850830078,51.47077178955078,1,0,Urban,Mixed
0,1998,1,0,-20.50279998779297,29.49720001220703,53.65513229370117,1,0,Urban,Mixed
